Reference,Date,Debit,Credit,Description,Balance
REF-20240305-387351,05/03/2024,,306.63,CARD SETTLEMENT NET TXN20240302032540,2233920.23
REF-20240306-527724,06/03/2024,,47.84,PAYMENT SETTLEMENT TXN20240305004986,2233968.07
REF-20240402-471850,02/04/2024,,23.43,MERCHANT CREDIT CUST4845,2233991.50
REF-20240305-580604,05/03/2024,,99.53,PAYMENT SETTLEMENT TXN20240304023544,2234091.03
REF-20240325-785766,25/03/2024,,37.10,PAYMENT SETTLEMENT TXN20240322016653,2234128.13
REF-20240328-976974,28/03/2024,,63.74,PAYMENT SETTLEMENT TXN20240327007035,2234191.87
REF-20240305-922925,05/03/2024,,80.36,PAYMENT SETTLEMENT TXN20240302012862,2234272.23
REF-20240312-802197,12/03/2024,,61.85,MERCHANT CREDIT CUST9729,2234334.08
REF-20240319-308289,19/03/2024,,661.08,PAYMENT SETTLEMENT TXN20240317031646,2234995.16
REF-20240402-389977,02/04/2024,,176.17,PAYMENT SETTLEMENT TXN20240328038746,2235171.33
REF-20240319-114558,19/03/2024,,45.17,PAYMENT SETTLEMENT TXN20240318028919,2235216.50
REF-20240320-461301,20/03/2024,,24.13,SETTLEMENT BATCH 0320,2235240.63
REF-20240319-605030,19/03/2024,,712.61,PAYMENT SETTLEMENT TXN20240317005323,2235953.24
REF-20240307-932465,07/03/2024,,329.60,SETTLEMENT BATCH 0307,2236282.84
REF-20240306-555099,06/03/2024,,47.71,SETTLEMENT BATCH 0306,2236330.55
REF-20240304-961445,04/03/2024,,18.08,PAYMENT SETTLEMENT TXN20240301047649,2236348.63
REF-20240314-565560,14/03/2024,,53.86,PAYMENT SETTLEMENT TXN20240313007062,2236402.49
REF-20240403-825651,03/04/2024,,55.25,PAYMENT SETTLEMENT TXN20240329028951,2236457.74
REF-20240314-915159,14/03/2024,,176.58,PAYMENT SETTLEMENT TXN20240313026130,2236634.32
REF-20240314-226959,14/03/2024,,135.95,CARD SETTLEMENT NET TXN20240313036377,2236770.27
REF-20240319-959333,19/03/2024,,177.89,MERCHANT CREDIT CUST3607,2236948.16
REF-20240403-399794,03/04/2024,,287.27,PAYMENT SETTLEMENT TXN20240330039574,2237235.43
REF-20240326-219174,26/03/2024,,29.26,PAYMENT SETTLEMENT TXN20240323009807,2237264.69
REF-20240325-365438,25/03/2024,,91.96,PAYMENT SETTLEMENT TXN20240322014090,2237356.65
REF-20240305-720450,05/03/2024,,58.55,CARD SETTLEMENT NET TXN20240302046972,2237415.20
REF-20240319-331921,19/03/2024,,399.74,PAYMENT SETTLEMENT TXN20240316008883,2237814.94
REF-20240312-764506,12/03/2024,,33.86,PAYMENT SETTLEMENT TXN20240310019210,2237848.80
REF-20240326-474180,26/03/2024,,225.61,CARD SETTLEMENT NET TXN20240325046209,2238074.41
REF-20240312-387407,12/03/2024,,24.32,PAYMENT SETTLEMENT TXN20240310024035,2238098.73
REF-20240403-498022,03/04/2024,,48.59,PAYMENT SETTLEMENT TXN20240331006608,2238147.32
REF-20240313-840938,13/03/2024,,40.33,SETTLEMENT BATCH 0313,2238187.65
REF-20240312-844878,12/03/2024,,137.40,PAYMENT SETTLEMENT TXN20240309011476,2238325.05
REF-20240307-640810,07/03/2024,,114.17,CARD SETTLEMENT NET TXN20240306028025,2238439.22
REF-20240318-628112,18/03/2024,,351.31,PAYMENT SETTLEMENT TXN20240315037816,2238790.53
REF-20240307-238447,07/03/2024,,27.06,PAYMENT SETTLEMENT TXN20240306049005,2238817.59
REF-20240319-401340,19/03/2024,,75.49,PAYMENT SETTLEMENT TXN20240317039111,2238893.08
REF-20240304-565664,04/03/2024,,35.30,PAYMENT SETTLEMENT TXN20240301021185,2238928.38
REF-20240312-171028,12/03/2024,,72.54,CARD SETTLEMENT NET TXN20240309007233,2239000.92
REF-20240305-266564,05/03/2024,,173.27,PAYMENT SETTLEMENT TXN20240302046596,2239174.19
REF-20240306-389611,06/03/2024,,95.56,SETTLEMENT BATCH 0306,2239269.75
REF-20240326-240985,26/03/2024,,174.94,SETTLEMENT BATCH 0326,2239444.69
REF-20240319-329781,19/03/2024,,75.61,PAYMENT SETTLEMENT TXN20240317045879,2239520.30
REF-20240327-321576,27/03/2024,,330.82,PAYMENT SETTLEMENT TXN20240326011319,2239851.12
REF-20240305-921689,05/03/2024,,145.60,MERCHANT CREDIT CUST6111,2239996.72
REF-20240403-187498,03/04/2024,,28.82,PAYMENT SETTLEMENT TXN20240329016579,2240025.54
REF-20240327-455993,27/03/2024,,13.37,PAYMENT SETTLEMENT TXN20240326034515,2240038.91
REF-20240315-366306,15/03/2024,,30.66,PAYMENT SETTLEMENT TXN20240314000362,2240069.57
REF-20240314-589024,14/03/2024,,54.48,PAYMENT SETTLEMENT TXN20240313018610,2240124.05
REF-20240326-148015,26/03/2024,,157.58,PAYMENT SETTLEMENT TXN20240323024763,2240281.63
REF-20240312-552181,12/03/2024,,16.77,PAYMENT SETTLEMENT TXN20240309027934,2240298.40
REF-20240304-260010,04/03/2024,,21.29,PAYMENT SETTLEMENT TXN20240301002807,2240319.69
REF-20240320-341988,20/03/2024,,137.17,CARD SETTLEMENT NET TXN20240319004021,2240456.86
REF-20240327-138812,27/03/2024,,513.32,MERCHANT CREDIT CUST5327,2240970.18
REF-20240313-734113,13/03/2024,,64.21,PAYMENT SETTLEMENT TXN20240312005810,2241034.39
REF-20240328-176349,28/03/2024,,102.44,PAYMENT SETTLEMENT TXN20240327043177,2241136.83
REF-20240319-432559,19/03/2024,,66.76,PAYMENT SETTLEMENT TXN20240317001981,2241203.59
REF-20240326-145802,26/03/2024,,165.41,PAYMENT SETTLEMENT TXN20240323033220,2241369.00
REF-20240306-196815,06/03/2024,,25.60,PAYMENT SETTLEMENT TXN20240305000898,2241394.60
REF-20240328-893023,28/03/2024,,96.69,CARD SETTLEMENT NET TXN20240327007339,2241491.29
REF-20240320-102739,20/03/2024,,59.71,PAYMENT SETTLEMENT TXN20240319010541,2241551.00
REF-20240403-512498,03/04/2024,,24.48,PAYMENT SETTLEMENT TXN20240330018273,2241575.48
REF-20240321-847455,21/03/2024,,67.33,PAYMENT SETTLEMENT TXN20240320000673,2241642.81
REF-20240403-578027,03/04/2024,,30.72,PAYMENT SETTLEMENT TXN20240329012510,2241673.53
REF-20240306-287276,06/03/2024,,37.04,PAYMENT SETTLEMENT TXN20240305045063,2241710.57
REF-20240326-409735,26/03/2024,,64.77,PAYMENT SETTLEMENT TXN20240323030380,2241775.34
REF-20240304-257119,04/03/2024,,22.31,PAYMENT SETTLEMENT TXN20240301046574,2241797.65
REF-20240319-893364,19/03/2024,,39.77,PAYMENT SETTLEMENT TXN20240316049282,2241837.42
REF-20240304-819437,04/03/2024,,44.04,PAYMENT SETTLEMENT TXN20240301020798,2241881.46
REF-20240326-561841,26/03/2024,,9.87,PAYMENT SETTLEMENT TXN20240324001677,2241891.33
REF-20240305-992749,05/03/2024,,99.74,CARD SETTLEMENT NET TXN20240303034728,2241991.07
REF-20240304-800106,04/03/2024,,162.57,MERCHANT CREDIT CUST5635,2242153.64
REF-20240403-625634,03/04/2024,,183.31,PAYMENT SETTLEMENT TXN20240331045561,2242336.95
REF-20240312-509381,12/03/2024,,63.61,PAYMENT SETTLEMENT TXN20240310024843,2242400.56
REF-20240308-148248,08/03/2024,,69.51,PAYMENT SETTLEMENT TXN20240307006262,2242470.07
REF-20240402-751658,02/04/2024,,75.05,PAYMENT SETTLEMENT TXN20240328047019,2242545.12
REF-20240403-529915,03/04/2024,,1143.40,CARD SETTLEMENT NET TXN20240331018564,2243688.52
REF-20240328-715099,28/03/2024,,306.03,CARD SETTLEMENT NET TXN20240327009586,2243994.55
REF-20240306-337864,06/03/2024,,11.50,PAYMENT SETTLEMENT TXN20240305017526,2244006.05
REF-20240325-497380,25/03/2024,,34.18,CARD SETTLEMENT NET TXN20240322028693,2244040.23
REF-20240305-691970,05/03/2024,,42.97,CARD SETTLEMENT NET TXN20240303031697,2244083.20
REF-20240402-876464,02/04/2024,,14.86,PAYMENT SETTLEMENT TXN20240328020339,2244098.06
REF-20240321-205760,21/03/2024,,44.00,PAYMENT SETTLEMENT TXN20240320009635,2244142.06
REF-20240402-654209,02/04/2024,,412.00,PAYMENT SETTLEMENT TXN20240328004376,2244554.06
REF-20240326-951876,26/03/2024,,147.58,PAYMENT SETTLEMENT TXN20240324030502,2244701.64
REF-20240313-167427,13/03/2024,,56.63,PAYMENT SETTLEMENT TXN20240312034141,2244758.27
REF-20240318-937653,18/03/2024,,97.65,PAYMENT SETTLEMENT TXN20240315045945,2244855.92
REF-20240312-706782,12/03/2024,,35.88,PAYMENT SETTLEMENT TXN20240309042067,2244891.80
REF-20240305-159417,05/03/2024,,93.03,PAYMENT SETTLEMENT TXN20240303022008,2244984.83
REF-20240326-492408,26/03/2024,,26.46,CARD SETTLEMENT NET TXN20240323027830,2245011.29
REF-20240318-772613,18/03/2024,,106.83,PAYMENT SETTLEMENT TXN20240315005168,2245118.12
REF-20240309-348298,09/03/2024,694.08,,MONTHLY SERVICE CHARGE 65HK,2244424.04
REF-20240318-533677,18/03/2024,,71.58,PAYMENT SETTLEMENT TXN20240315039676,2244495.62
REF-20240327-170651,27/03/2024,44.99,,REVERSAL OF REF-20240322-378728,2244450.63
REF-20240403-746142,03/04/2024,,93.39,PAYMENT SETTLEMENT TXN20240329000481,2244544.02
REF-20240312-505146,12/03/2024,,112.98,PAYMENT SETTLEMENT TXN20240310015221,2244657.00
REF-20240321-210426,21/03/2024,,61.70,PAYMENT SETTLEMENT TXN20240320014354,2244718.70
REF-20240305-907014,05/03/2024,,11.97,PAYMENT SETTLEMENT TXN20240304023994,2244730.67
REF-20240326-478858,26/03/2024,,72.14,PAYMENT SETTLEMENT TXN20240323001100,2244802.81
REF-20240314-291724,14/03/2024,,42.15,PAYMENT SETTLEMENT TXN20240313003403,2244844.96
REF-20240304-340220,04/03/2024,,52.36,PAYMENT SETTLEMENT TXN20240301035329,2244897.32
REF-20240306-735327,06/03/2024,,55.44,PAYMENT SETTLEMENT TXN20240305018027,2244952.76
REF-20240403-283377,03/04/2024,,48.14,PAYMENT SETTLEMENT TXN20240331030671,2245000.90
REF-20240312-995212,12/03/2024,,108.38,PAYMENT SETTLEMENT TXN20240310032755,2245109.28
REF-20240311-562156,11/03/2024,,47.77,CARD SETTLEMENT NET TXN20240308045882,2245157.05
REF-20240321-271792,21/03/2024,,42.93,PAYMENT SETTLEMENT TXN20240320002667,2245199.98
REF-20240305-788801,05/03/2024,,44.73,PAYMENT SETTLEMENT TXN20240304026884,2245244.71
REF-20240403-468755,03/04/2024,,83.86,PAYMENT SETTLEMENT TXN20240331038758,2245328.57
REF-20240305-854936,05/03/2024,,92.65,PAYMENT SETTLEMENT TXN20240303006071,2245421.22
REF-20240319-918919,19/03/2024,,13.95,PAYMENT SETTLEMENT TXN20240318023024,2245435.17
REF-20240313-422037,13/03/2024,,125.59,PAYMENT SETTLEMENT TXN20240312043011,2245560.76
REF-20240312-684458,12/03/2024,,51.30,PAYMENT SETTLEMENT TXN20240311029194,2245612.06
REF-20240325-166171,25/03/2024,,402.69,SETTLEMENT BATCH 0325,2246014.75
REF-20240311-195025,11/03/2024,,221.26,PAYMENT SETTLEMENT TXN20240308035818,2246236.01
REF-20240311-666963,11/03/2024,,213.64,PAYMENT SETTLEMENT TXN20240308024319,2246449.65
REF-20240322-327461,22/03/2024,,114.83,PAYMENT SETTLEMENT TXN20240321019797,2246564.48
REF-20240319-334490,19/03/2024,,71.49,PAYMENT SETTLEMENT TXN20240317031685,2246635.97
REF-20240307-600283,07/03/2024,,30.93,PAYMENT SETTLEMENT TXN20240306014357,2246666.90
REF-20240305-835535,05/03/2024,,29.38,PAYMENT SETTLEMENT TXN20240303020125,2246696.28
REF-20240328-190045,28/03/2024,,447.32,PAYMENT SETTLEMENT TXN20240327032100,2247143.60
REF-20240325-358233,25/03/2024,,159.23,CARD SETTLEMENT NET TXN20240322041132,2247302.83
REF-20240312-881108,12/03/2024,,123.24,PAYMENT SETTLEMENT TXN20240311015845,2247426.07
REF-20240314-592212,14/03/2024,,99.12,PAYMENT SETTLEMENT TXN20240313032410,2247525.19
REF-20240313-589463,13/03/2024,,22.93,SETTLEMENT BATCH 0313,2247548.12
REF-20240312-921358,12/03/2024,,103.28,PAYMENT SETTLEMENT TXN20240310008010,2247651.40
REF-20240311-407572,11/03/2024,,312.51,PAYMENT SETTLEMENT TXN20240308015265,2247963.91
REF-20240321-276778,21/03/2024,134.26,,RETURNED PAYMENT ORIG REF-20240319-970419 RSN AC01 INCORRECT ACCOUNT NUMBER,2247829.65
REF-20240322-550126,22/03/2024,149.24,,REVERSAL OF REF-20240321-936675,2247680.41
REF-20240313-489061,13/03/2024,,73.03,PAYMENT SETTLEMENT TXN20240312029384,2247753.44
REF-20240319-427642,19/03/2024,,239.39,PAYMENT SETTLEMENT TXN20240316016316,2247992.83
REF-20240312-113180,12/03/2024,,189.75,PAYMENT SETTLEMENT TXN20240309003039,2248182.58
REF-20240326-116567,26/03/2024,,353.26,CARD SETTLEMENT NET TXN20240323033248,2248535.84
REF-20240403-476482,03/04/2024,,46.33,PAYMENT SETTLEMENT TXN20240330028141,2248582.17
REF-20240322-421865,22/03/2024,,253.48,PAYMENT SETTLEMENT TXN20240321048174,2248835.65
REF-20240313-885236,13/03/2024,,110.05,PAYMENT SETTLEMENT TXN20240312018935,2248945.70
REF-20240325-410017,25/03/2024,,71.15,PAYMENT SETTLEMENT TXN20240322013925,2249016.85
REF-20240315-817980,15/03/2024,,25.32,PAYMENT SETTLEMENT TXN20240314027165,2249042.17
REF-20240313-676396,13/03/2024,,306.51,PAYMENT SETTLEMENT TXN20240312023920,2249348.68
REF-20240304-415232,04/03/2024,,25.84,PAYMENT SETTLEMENT TXN20240301033874,2249374.52
REF-20240318-884673,18/03/2024,,42.18,SETTLEMENT BATCH 0318,2249416.70
REF-20240402-862165,02/04/2024,,50.40,PAYMENT SETTLEMENT TXN20240328020754,2249467.10
REF-20240320-913780,20/03/2024,,81.56,PAYMENT SETTLEMENT TXN20240319036789,2249548.66
REF-20240308-411800,08/03/2024,,165.31,PAYMENT SETTLEMENT TXN20240307026200,2249713.97
REF-20240304-409393,04/03/2024,,44.61,PAYMENT SETTLEMENT TXN20240301034457,2249758.58
REF-20240306-751751,06/03/2024,,99.92,PAYMENT SETTLEMENT TXN20240305043806,2249858.50
REF-20240312-166729,12/03/2024,,162.69,MERCHANT CREDIT CUST5434,2250021.19
REF-20240305-770361,05/03/2024,,53.07,PAYMENT SETTLEMENT TXN20240302014249,2250074.26
REF-20240305-968782,05/03/2024,,112.47,MERCHANT CREDIT CUST8147,2250186.73
REF-20240311-952767,11/03/2024,,161.14,PAYMENT SETTLEMENT TXN20240308026715,2250347.87
REF-20240326-875369,26/03/2024,,41.70,CARD SETTLEMENT NET TXN20240325016220,2250389.57
REF-20240327-341700,27/03/2024,,65.43,PAYMENT SETTLEMENT TXN20240326002194,2250455.00
REF-20240319-246790,19/03/2024,,540.58,CARD SETTLEMENT NET TXN20240318019883,2250995.58
REF-20240321-248188,21/03/2024,,30.92,CARD SETTLEMENT NET TXN20240320017034,2251026.50
REF-20240403-736423,03/04/2024,,39.12,PAYMENT SETTLEMENT TXN20240331033749,2251065.62
REF-20240319-379123,19/03/2024,,16.29,CARD SETTLEMENT NET TXN20240318034263,2251081.91
REF-20240327-391492,27/03/2024,,35.32,PAYMENT SETTLEMENT TXN20240326044872,2251117.23
REF-20240312-338298,12/03/2024,,40.56,PAYMENT SETTLEMENT TXN20240310043323,2251157.79
REF-20240403-926546,03/04/2024,,41.62,PAYMENT SETTLEMENT TXN20240331043205,2251199.41
REF-20240306-848162,06/03/2024,,40.06,PAYMENT SETTLEMENT TXN20240305017732,2251239.47
REF-20240315-591762,15/03/2024,,28.83,PAYMENT SETTLEMENT TXN20240314001844,2251268.30
REF-20240321-970565,21/03/2024,,129.71,PAYMENT SETTLEMENT TXN20240320029304,2251398.01
REF-20240326-287507,26/03/2024,,258.39,PAYMENT SETTLEMENT TXN20240323022653,2251656.40
REF-20240308-438535,08/03/2024,,67.69,CARD SETTLEMENT NET TXN20240307025521,2251724.09
REF-20240319-617199,19/03/2024,,76.41,MERCHANT CREDIT CUST4149,2251800.50
REF-20240402-512593,02/04/2024,,725.65,CARD SETTLEMENT NET TXN20240328013074,2252526.15
REF-20240403-251402,03/04/2024,,15.50,PAYMENT SETTLEMENT TXN20240329029372,2252541.65
REF-20240319-254125,19/03/2024,,52.83,CARD SETTLEMENT NET TXN20240317031081,2252594.48
REF-20240318-135920,18/03/2024,,78.14,PAYMENT SETTLEMENT TXN20240315037830,2252672.62
REF-20240319-563901,19/03/2024,,52.52,PAYMENT SETTLEMENT TXN20240317016846,2252725.14
REF-20240312-936582,12/03/2024,,89.99,PAYMENT SETTLEMENT TXN20240310008267,2252815.13
REF-20240326-815005,26/03/2024,,91.75,PAYMENT SETTLEMENT TXN20240323028902,2252906.88
REF-20240313-557161,13/03/2024,,39.69,MERCHANT CREDIT CUST8719,2252946.57
REF-20240326-333236,26/03/2024,,163.30,PAYMENT SETTLEMENT TXN20240324030501,2253109.87
REF-20240305-714971,05/03/2024,,24.27,PAYMENT SETTLEMENT TXN20240304012586,2253134.14
REF-20240326-117504,26/03/2024,,23.47,PAYMENT SETTLEMENT TXN20240324016249,2253157.61
REF-20240319-517461,19/03/2024,,22.78,PAYMENT SETTLEMENT TXN20240318047557,2253180.39
REF-20240325-944335,25/03/2024,,339.97,PAYMENT SETTLEMENT TXN20240322046712,2253520.36
REF-20240308-695514,08/03/2024,,17.56,PAYMENT SETTLEMENT TXN20240307025558,2253537.92
REF-20240305-423118,05/03/2024,,18.44,PAYMENT SETTLEMENT TXN20240304012455,2253556.36
REF-20240315-885194,15/03/2024,,33.42,SETTLEMENT BATCH 0315,2253589.78
REF-20240312-330001,12/03/2024,,35.33,CARD SETTLEMENT NET TXN20240311003478,2253625.11
REF-20240305-271270,05/03/2024,,34.69,PAYMENT SETTLEMENT TXN20240302040218,2253659.80
REF-20240312-296169,12/03/2024,,60.92,PAYMENT SETTLEMENT TXN20240310023726,2253720.72
REF-20240314-981720,14/03/2024,,44.53,SETTLEMENT BATCH 0314,2253765.25
REF-20240327-430267,27/03/2024,,179.79,PAYMENT SETTLEMENT TXN20240326030569,2253945.04
REF-20240313-820412,13/03/2024,,63.69,PAYMENT SETTLEMENT TXN20240312025130,2254008.73
REF-20240403-756033,03/04/2024,,173.38,CARD SETTLEMENT NET TXN20240329029883,2254182.11
REF-20240402-736280,02/04/2024,,42.53,PAYMENT SETTLEMENT TXN20240328030923,2254224.64
REF-20240313-485536,13/03/2024,,281.22,PAYMENT SETTLEMENT TXN20240312005657,2254505.86
REF-20240308-495608,08/03/2024,,32.29,PAYMENT SETTLEMENT TXN20240307019929,2254538.15
REF-20240322-125414,22/03/2024,,127.17,CARD SETTLEMENT NET TXN20240321035716,2254665.32
REF-20240319-543281,19/03/2024,,122.28,PAYMENT SETTLEMENT TXN20240316026905,2254787.60
REF-20240305-338135,05/03/2024,,37.84,PAYMENT SETTLEMENT TXN20240302044580,2254825.44
REF-20240326-762262,26/03/2024,,56.63,MERCHANT CREDIT CUST6775,2254882.07
REF-20240305-283963,05/03/2024,15.10,,RETURNED PAYMENT ORIG REF-20240304-169542 RSN BE01 NAME MISMATCH,2254866.97
REF-20240403-682799,03/04/2024,,45.41,PAYMENT SETTLEMENT TXN20240331023613,2254912.38
REF-20240312-296055,12/03/2024,,51.21,PAYMENT SETTLEMENT TXN20240309004592,2254963.59
REF-20240304-388356,04/03/2024,,118.20,CARD SETTLEMENT NET TXN20240301042396,2255081.79
REF-20240319-866057,19/03/2024,,52.34,PAYMENT SETTLEMENT TXN20240318026061,2255134.13
REF-20240403-127322,03/04/2024,,42.68,PAYMENT SETTLEMENT TXN20240330000871,2255176.81
REF-20240312-100652,12/03/2024,,261.35,PAYMENT SETTLEMENT TXN20240309021047,2255438.16
REF-20240328-155374,28/03/2024,,41.65,CARD SETTLEMENT NET TXN20240327040815,2255479.81
REF-20240306-896939,06/03/2024,,154.60,PAYMENT SETTLEMENT TXN20240305045913,2255634.41
REF-20240306-632240,06/03/2024,,120.97,CARD SETTLEMENT NET TXN20240305037679,2255755.38
REF-20240326-487394,26/03/2024,,158.51,PAYMENT SETTLEMENT TXN20240325025443,2255913.89
REF-20240403-293699,03/04/2024,,118.86,PAYMENT SETTLEMENT TXN20240329000802,2256032.75
REF-20240307-960823,07/03/2024,,113.69,PAYMENT SETTLEMENT TXN20240306004125,2256146.44
REF-20240318-863020,18/03/2024,,24.76,PAYMENT SETTLEMENT TXN20240315037091,2256171.20
REF-20240314-479123,14/03/2024,,164.95,PAYMENT SETTLEMENT TXN20240313035974,2256336.15
REF-20240325-449059,25/03/2024,,33.11,PAYMENT SETTLEMENT TXN20240322013877,2256369.26
REF-20240326-721983,26/03/2024,,261.11,CARD SETTLEMENT NET TXN20240323037168,2256630.37
REF-20240322-739343,22/03/2024,,149.90,PAYMENT SETTLEMENT TXN20240321023017,2256780.27
REF-20240326-915008,26/03/2024,,47.38,PAYMENT SETTLEMENT TXN20240324028440,2256827.65
REF-20240319-260337,19/03/2024,,81.84,PAYMENT SETTLEMENT TXN20240318044612,2256909.49
REF-20240321-458638,21/03/2024,,35.66,PAYMENT SETTLEMENT TXN20240320006175,2256945.15
REF-20240318-686496,18/03/2024,,101.32,PAYMENT SETTLEMENT TXN20240315029255,2257046.47
REF-20240403-789274,03/04/2024,,156.19,PAYMENT SETTLEMENT TXN20240331033678,2257202.66
REF-20240313-558368,13/03/2024,,366.01,PAYMENT SETTLEMENT TXN20240312005662,2257568.67
REF-20240312-871815,12/03/2024,,44.66,PAYMENT SETTLEMENT TXN20240310022353,2257613.33
REF-20240318-148432,18/03/2024,,132.50,PAYMENT SETTLEMENT TXN20240315028691,2257745.83
REF-20240320-657487,20/03/2024,,124.11,SETTLEMENT BATCH 0320,2257869.94
REF-20240326-385331,26/03/2024,,24.70,PAYMENT SETTLEMENT TXN20240324010463,2257894.64
REF-20240319-254286,19/03/2024,,211.93,PAYMENT SETTLEMENT TXN20240316009429,2258106.57
REF-20240326-405190,26/03/2024,167.90,,RETURNED PAYMENT ORIG REF-20240325-947895 RSN AC01 INCORRECT ACCOUNT NUMBER,2257938.67
REF-20240319-155453,19/03/2024,,152.10,PAYMENT SETTLEMENT TXN20240316035865,2258090.77
REF-20240403-647469,03/04/2024,,413.63,PAYMENT SETTLEMENT TXN20240331014461,2258504.40
REF-20240326-204448,26/03/2024,,95.44,CARD SETTLEMENT NET TXN20240323005890,2258599.84
REF-20240319-382697,19/03/2024,,63.25,MERCHANT CREDIT CUST1923,2258663.09
REF-20240315-634938,15/03/2024,,50699.97,BATCH SETTLEMENT B20240315 COUNT 377,2309363.06
REF-20240304-716710,04/03/2024,,344.08,PAYMENT SETTLEMENT TXN20240301037310,2309707.14
REF-20240312-814495,12/03/2024,,38.79,PAYMENT SETTLEMENT TXN20240310046908,2309745.93
REF-20240312-407834,12/03/2024,,36.29,PAYMENT SETTLEMENT TXN20240311047346,2309782.22
REF-20240315-908487,15/03/2024,,202.63,PAYMENT SETTLEMENT TXN20240314038513,2309984.85
REF-20240319-640318,19/03/2024,,49.33,PAYMENT SETTLEMENT TXN20240316047542,2310034.18
REF-20240304-744657,04/03/2024,,91.38,PAYMENT SETTLEMENT TXN20240301007114,2310125.56
REF-20240402-474465,02/04/2024,,345.50,PAYMENT SETTLEMENT TXN20240328006173,2310471.06
REF-20240304-727653,04/03/2024,,21.85,PAYMENT SETTLEMENT TXN20240301018578,2310492.91
REF-20240318-638988,18/03/2024,,152.27,PAYMENT SETTLEMENT TXN20240315008920,2310645.18
REF-20240305-987951,05/03/2024,,45.47,PAYMENT SETTLEMENT TXN20240304006152,2310690.65
REF-20240328-730473,28/03/2024,,65.30,PAYMENT SETTLEMENT TXN20240327001817,2310755.95
REF-20240314-257909,14/03/2024,,71.19,SETTLEMENT BATCH 0314,2310827.14
REF-20240307-514948,07/03/2024,,89.55,PAYMENT SETTLEMENT TXN20240306020737,2310916.69
REF-20240327-926211,27/03/2024,,15.42,SETTLEMENT BATCH 0327,2310932.11
REF-20240312-680613,12/03/2024,,439.31,PAYMENT SETTLEMENT TXN20240309047781,2311371.42
REF-20240311-149322,11/03/2024,,36.47,PAYMENT SETTLEMENT TXN20240308029751,2311407.89
REF-20240322-767044,22/03/2024,,177.08,PAYMENT SETTLEMENT TXN20240321043010,2311584.97
REF-20240308-746218,08/03/2024,,25.53,PAYMENT SETTLEMENT TXN20240307008441,2311610.50
REF-20240312-835782,12/03/2024,,61.25,PAYMENT SETTLEMENT TXN20240309034713,2311671.75
REF-20240308-901263,08/03/2024,,37.50,CARD SETTLEMENT NET TXN20240307035864,2311709.25
REF-20240322-833358,22/03/2024,,52.32,CARD SETTLEMENT NET TXN20240321010034,2311761.57
REF-20240327-909462,27/03/2024,,73.22,PAYMENT SETTLEMENT TXN20240326001467,2311834.79
REF-20240305-582106,05/03/2024,,31.30,PAYMENT SETTLEMENT TXN20240302040977,2311866.09
REF-20240319-906713,19/03/2024,,48.27,PAYMENT SETTLEMENT TXN20240317020423,2311914.36
REF-20240305-625987,05/03/2024,,41.65,PAYMENT SETTLEMENT TXN20240304037903,2311956.01
REF-20240326-856317,26/03/2024,,14.93,MERCHANT CREDIT CUST1273,2311970.94
REF-20240313-119152,13/03/2024,,111.05,PAYMENT SETTLEMENT TXN20240312024943,2312081.99
REF-20240311-140080,11/03/2024,,109.82,PAYMENT SETTLEMENT TXN20240308039684,2312191.81
REF-20240315-383151,15/03/2024,,28.11,PAYMENT SETTLEMENT TXN20240314027377,2312219.92
REF-20240328-842313,28/03/2024,,42.51,PAYMENT SETTLEMENT TXN20240327014105,2312262.43
REF-20240314-623525,14/03/2024,,13.55,CARD SETTLEMENT NET TXN20240313009851,2312275.98
REF-20240403-869782,03/04/2024,,70.87,PAYMENT SETTLEMENT TXN20240331004918,2312346.85
REF-20240311-374712,11/03/2024,336.28,,REVERSAL OF REF-20240308-980227,2312010.57
REF-20240402-652413,02/04/2024,,48.53,PAYMENT SETTLEMENT TXN20240328008194,2312059.10
REF-20240314-578484,14/03/2024,,469.96,PAYMENT SETTLEMENT TXN20240313029685,2312529.06
REF-20240314-341463,14/03/2024,,21.66,CARD SETTLEMENT NET TXN20240313041596,2312550.72
REF-20240403-190675,03/04/2024,,138.85,CARD SETTLEMENT NET TXN20240330036801,2312689.57
REF-20240326-737984,26/03/2024,,224.43,PAYMENT SETTLEMENT TXN20240325003142,2312914.00
REF-20240319-703923,19/03/2024,,43.83,CARD SETTLEMENT NET TXN20240317049635,2312957.83
REF-20240312-657275,12/03/2024,,152.86,PAYMENT SETTLEMENT TXN20240309022818,2313110.69
REF-20240403-355366,03/04/2024,,32.39,PAYMENT SETTLEMENT TXN20240331020554,2313143.08
REF-20240322-786651,22/03/2024,,94.25,PAYMENT SETTLEMENT TXN20240321037230,2313237.33
REF-20240319-526442,19/03/2024,,36.67,PAYMENT SETTLEMENT TXN20240317008867,2313274.00
REF-20240312-573910,12/03/2024,,105.20,SETTLEMENT BATCH 0312,2313379.20
REF-20240307-489359,07/03/2024,,499.07,CARD SETTLEMENT NET TXN20240306016619,2313878.27
REF-20240312-639845,12/03/2024,,31.61,CARD SETTLEMENT NET TXN20240310035532,2313909.88
REF-20240314-906664,14/03/2024,382.81,,CHARGEBACK RECEIVED 73DN,2313527.07
REF-20240305-574501,05/03/2024,,44.12,PAYMENT SETTLEMENT TXN20240304048547,2313571.19
REF-20240306-718145,06/03/2024,,240.18,MERCHANT CREDIT CUST9708,2313811.37
